CaseID,CaseNumber,CaseTypeId,CaseType,CaseWorkclassId,CaseWorkclass,CaseStatusId,CaseStatus,DateApplied,Address,Description
6163B857-E8E5-462A-9BBE-23B5586D9378,2015-2819,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-27T16:42:00Z,3313 FLAT IRON CT LEANDER TX 78641,New House
7815E9F6-B831-41F9-BAF9-D8FB2DF117BA,2015-2820,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-27T16:43:00Z,3808 VENEZIA VW LEANDER TX 78641,New House
FD86B55B-4224-4A7A-B0D3-06AF099E5117,2015-2822,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-29T15:49:00Z,1504 PINOT NOIR ST LEANDER TX 78641,NEW SNGL FAM RES NEW SNGL FAM RES
7909EDD2-9DD9-454B-9CB2-BD2BC09B9064,2015-2823,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-30T15:14:00Z,501 Rancho Verde Drive Leander TX 78641,New Construction
D1E5EECF-2DD2-41A9-9CC4-70B571238A7A,2015-2824,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-30T15:21:00Z,1013 Hartman Leander TX 78641,New House
0748B06F-4C71-423F-BE2F-3AB5EF541730,2015-2825,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-30T16:44:00Z,1109 HARTMAN DR LEANDER TX 78641,Install Irrigation System
D923E1C6-4DB2-49FE-B26B-7AE6662BDE73,2015-2827,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-30T21:20:00Z,516 TULA TRL LEANDER TX 78641,Install Sprinkler Systen
8B2D1992-B77E-4A77-8C54-4E1DE5F09670,2015-2828,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-30T21:26:00Z,2325 GRANITE HILL DR LEANDER TX 78641,New House
6C76640D-1C09-479F-978D-40E944DC269A,2015-2829,a5f44bf3-4fba-4b55-9e72-b0dc246f6a14,Sign Permit,b57e5881-7e9e-4b7c-bda5-7ac227627c99,Sign,486d9638-0665-4e42-80d7-070607fb046f,Expired,2015-03-30T21:52:00Z,2091 S US 183 Suite C Leander TX 78641,
4688082A-E76B-4845-8D96-6D1BFE2310E2,2015-2830,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T14:39:00Z,2605 RAIN SONG DR LEANDER TX 78641,New House
BD827065-6B88-451A-9650-BB1B9FFB35A0,2015-2831,ec249354-a23a-8181-184e-32083ff80181,BLD - Commercial - Shell,2b6e1d30-9894-e0ed-df0a-6b44c9da7120,Shell,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T15:04:00Z,11840 Old 2243 W Bldg A Leander TX 78641,Building Shell
674C408B-BA0B-42A8-B8DA-7EFF8AC7354E,2015-2832,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T15:33:00Z,1601 PINOT NOIR ST LEANDER TX 78641,NEW SNGL FAM RES
127DA830-D54D-4DB5-BE4E-E15682B50A13,2015-2833,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T15:34:00Z,2044 HARVEST DANCE DR LEANDER TX 78641,Install Sprinkler System
E1439A41-E356-4A18-88E1-53A3B80A3279,2015-2834,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T15:37:00Z,2433 MILLBROOK LOOP LEANDER TX 78641,Install Irrigation System
E4E4977E-1EE4-441C-93B2-30D6A01BEA91,2015-2836,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-03-31T15:40:00Z,233 SANGIOVESE ST LEANDER TX 78641,NEW SNGL FAM RES
